DEPARTAMENTO;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
UCAYALI; 2,235 ; 2,016 ; 3,638 ; 4,082 ; 6,003 ; 6,122 ; 7,016 ; 8,526 ; 10,359 ; 6,833 ; 7,982 ; 7,497 ; 5,296 
TUMBES; 2,338 ; 2,935 ; 3,437 ; 3,883 ; 3,163 ; 3,275 ; 4,404 ; 5,933 ; 5,240 ; 4,080 ; 4,956 ; 5,337 ; 3,761 
TACNA; 1,921 ; 3,391 ; 3,850 ; 3,892 ; 2,975 ; 3,229 ; 4,013 ; 4,980 ; 5,229 ; 3,811 ; 5,331 ; 6,232 ; 3,855 
SAN MARTIN; 4,630 ; 4,730 ; 4,665 ; 5,597 ; 5,545 ; 3,729 ; 5,177 ; 8,758 ; 7,790 ; 6,201 ; 8,923 ; 10,683 ; 6,815 
PUNO; 1,756 ; 2,099 ; 2,445 ; 4,114 ; 3,314 ; 4,741 ; 4,206 ; 5,267 ; 6,385 ; 5,619 ; 7,091 ; 7,921 ; 5,031 
PIURA; 7,328 ; 11,511 ; 12,178 ; 16,200 ; 16,099 ; 16,795 ; 20,156 ; 23,768 ; 24,714 ; 18,442 ; 21,632 ; 28,097 ; 18,886 
PASCO; 999 ; 1,183 ; 1,314 ; 1,987 ; 1,054 ; 937 ; 1,772 ; 2,528 ; 2,260 ; 2,295 ; 2,425 ; 2,966 ; 1,958 
MOQUEGUA; 2,231 ; 1,568 ; 1,791 ; 1,804 ; 1,713 ; 1,872 ; 2,244 ; 2,905 ; 2,605 ; 1,763 ; 3,034 ; 3,338 ; 1,926 
MADRE DE DIOS; 814 ; 1,549 ; 2,256 ; 2,118 ; 1,427 ; 1,641 ; 2,401 ; 3,381 ; 2,938 ; 3,697 ; 2,908 ; 3,278 ; 2,311 
LORETO; 2,711 ; 2,825 ; 3,240 ; 3,054 ; 2,670 ; 5,730 ; 4,843 ; 7,655 ; 7,569 ; 5,061 ; 6,799 ; 9,084 ; 5,781 
LIMA; 126,494 ; 135,777 ; 147,119 ; 151,256 ; 180,409 ; 170,366 ; 177,517 ; 194,005 ; 174,103 ; 111,870 ; 143,162 ; 178,705 ; 167,173 
LAMBAYEQUE; 10,300 ; 11,356 ; 12,260 ; 13,740 ; 15,757 ; 21,406 ; 25,186 ; 27,315 ; 26,218 ; 19,415 ; 24,619 ; 34,575 ; 29,251 
LA LIBERTAD; 9,221 ; 13,413 ; 13,504 ; 18,712 ; 15,628 ; 16,782 ; 21,894 ; 24,283 ; 25,280 ; 17,695 ; 21,854 ; 28,080 ; 22,430 
JUNIN; 7,123 ; 8,337 ; 9,433 ; 8,791 ; 7,632 ; 9,375 ; 11,627 ; 15,018 ; 16,884 ; 12,805 ; 18,071 ; 21,407 ; 16,904 
ICA; 6,308 ; 7,835 ; 9,288 ; 10,107 ; 10,869 ; 13,178 ; 13,772 ; 16,374 ; 18,493 ; 13,485 ; 15,640 ; 17,067 ; 13,715 
HUANUCO; 1,931 ; 2,601 ; 3,157 ; 3,275 ; 3,126 ; 3,162 ; 3,895 ; 6,191 ; 6,739 ; 7,153 ; 9,011 ; 11,738 ; 9,125 
HUANCAVELICA; 879 ; 962 ; 1,045 ; 1,917 ; 1,223 ; 1,345 ; 1,483 ; 1,582 ; 1,227 ; 1,440 ; 2,363 ; 2,314 ; 1,404 
CUSCO; 7,145 ; 8,542 ; 9,830 ; 14,328 ; 9,271 ; 11,783 ; 13,728 ; 15,819 ; 15,771 ; 11,818 ; 14,801 ; 16,231 ; 12,607 
CALLAO; 12,749 ; 13,233 ; 14,631 ; 15,765 ; 19,328 ; 15,385 ; 14,948 ; 22,048 ; 19,266 ; 12,676 ; 14,648 ; 18,603 ; 13,960 
CAJAMARCA; 3,775 ; 5,223 ; 6,820 ; 6,100 ; 5,847 ; 6,440 ; 9,453 ; 10,856 ; 10,196 ; 9,703 ; 11,900 ; 16,903 ; 11,146 
AYACUCHO; 3,299 ; 3,625 ; 3,989 ; 4,786 ; 4,395 ; 3,131 ; 4,574 ; 6,220 ; 5,572 ; 4,904 ; 6,341 ; 7,967 ; 6,042 
AREQUIPA; 12,762 ; 13,556 ; 14,167 ; 16,576 ; 18,017 ; 19,666 ; 25,500 ; 28,112 ; 24,856 ; 19,594 ; 25,087 ; 32,121 ; 24,772 
APURIMAC; 1,855 ; 2,412 ; 2,993 ; 2,533 ; 1,601 ; 2,000 ; 2,566 ; 4,549 ; 3,821 ; 3,699 ; 4,618 ; 5,484 ; 2,986 
ANCASH; 6,325 ; 7,097 ; 7,618 ; 8,783 ; 9,862 ; 10,446 ; 11,798 ; 13,793 ; 16,980 ; 12,115 ; 14,634 ; 15,242 ; 11,128 
AMAZONAS; 3,309 ; 4,037 ; 4,806 ; 3,178 ; 2,395 ; 3,340 ; 5,696 ; 6,222 ; 6,013 ; 4,645 ; 5,241 ; 6,711 ; 3,731 
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
