dpto_pjfs,anio_denuncia,cantidad
UCAYALI,2011,"2,235"
UCAYALI,2012,"2,016"
UCAYALI,2013,"3,638"
UCAYALI,2014,"4,082"
UCAYALI,2015,"6,003"
UCAYALI,2016,"6,122"
UCAYALI,2017,"7,016"
UCAYALI,2018,"8,526"
UCAYALI,2019,"10,359"
UCAYALI,2020,"6,833"
UCAYALI,2021,"7,982"
UCAYALI,2022,"7,497"
UCAYALI,2023,"5,296"
TUMBES,2011,"2,338"
TUMBES,2012,"2,935"
TUMBES,2013,"3,437"
TUMBES,2014,"3,883"
TUMBES,2015,"3,163"
TUMBES,2016,"3,275"
TUMBES,2017,"4,404"
TUMBES,2018,"5,933"
TUMBES,2019,"5,240"
TUMBES,2020,"4,080"
TUMBES,2021,"4,956"
TUMBES,2022,"5,337"
TUMBES,2023,"3,761"
TACNA,2011,"1,921"
TACNA,2012,"3,391"
TACNA,2013,"3,850"
TACNA,2014,"3,892"
TACNA,2015,"2,975"
TACNA,2016,"3,229"
TACNA,2017,"4,013"
TACNA,2018,"4,980"
TACNA,2019,"5,229"
TACNA,2020,"3,811"
TACNA,2021,"5,331"
TACNA,2022,"6,232"
TACNA,2023,"3,855"
SAN MARTIN,2011,"4,630"
SAN MARTIN,2012,"4,730"
SAN MARTIN,2013,"4,665"
SAN MARTIN,2014,"5,597"
SAN MARTIN,2015,"5,545"
SAN MARTIN,2016,"3,729"
SAN MARTIN,2017,"5,177"
SAN MARTIN,2018,"8,758"
SAN MARTIN,2019,"7,790"
SAN MARTIN,2020,"6,201"
SAN MARTIN,2021,"8,923"
SAN MARTIN,2022,"10,683"
SAN MARTIN,2023,"6,815"
PUNO,2011,"1,756"
PUNO,2012,"2,099"
PUNO,2013,"2,445"
PUNO,2014,"4,114"
PUNO,2015,"3,314"
PUNO,2016,"4,741"
PUNO,2017,"4,206"
PUNO,2018,"5,267"
PUNO,2019,"6,385"
PUNO,2020,"5,619"
PUNO,2021,"7,091"
PUNO,2022,"7,921"
PUNO,2023,"5,031"
PIURA,2011,"7,328"
PIURA,2012,"11,511"
PIURA,2013,"12,178"
PIURA,2014,"16,200"
PIURA,2015,"16,099"
PIURA,2016,"16,795"
PIURA,2017,"20,156"
PIURA,2018,"23,768"
PIURA,2019,"24,714"
PIURA,2020,"18,442"
PIURA,2021,"21,632"
PIURA,2022,"28,097"
PIURA,2023,"18,886"
PASCO,2011,999
PASCO,2012,"1,183"
PASCO,2013,"1,314"
PASCO,2014,"1,987"
PASCO,2015,"1,054"
PASCO,2016,937
PASCO,2017,"1,772"
PASCO,2018,"2,528"
PASCO,2019,"2,260"
PASCO,2020,"2,295"
PASCO,2021,"2,425"
PASCO,2022,"2,966"
PASCO,2023,"1,958"
MOQUEGUA,2011,"2,231"
MOQUEGUA,2012,"1,568"
MOQUEGUA,2013,"1,791"
MOQUEGUA,2014,"1,804"
MOQUEGUA,2015,"1,713"
MOQUEGUA,2016,"1,872"
MOQUEGUA,2017,"2,244"
MOQUEGUA,2018,"2,905"
MOQUEGUA,2019,"2,605"
MOQUEGUA,2020,"1,763"
MOQUEGUA,2021,"3,034"
MOQUEGUA,2022,"3,338"
MOQUEGUA,2023,"1,926"
MADRE DE DIOS,2011,814
MADRE DE DIOS,2012,"1,549"
MADRE DE DIOS,2013,"2,256"
MADRE DE DIOS,2014,"2,118"
MADRE DE DIOS,2015,"1,427"
MADRE DE DIOS,2016,"1,641"
MADRE DE DIOS,2017,"2,401"
MADRE DE DIOS,2018,"3,381"
MADRE DE DIOS,2019,"2,938"
MADRE DE DIOS,2020,"3,697"
MADRE DE DIOS,2021,"2,908"
MADRE DE DIOS,2022,"3,278"
MADRE DE DIOS,2023,"2,311"
LORETO,2011,"2,711"
LORETO,2012,"2,825"
LORETO,2013,"3,240"
LORETO,2014,"3,054"
LORETO,2015,"2,670"
LORETO,2016,"5,730"
LORETO,2017,"4,843"
LORETO,2018,"7,655"
LORETO,2019,"7,569"
LORETO,2020,"5,061"
LORETO,2021,"6,799"
LORETO,2022,"9,084"
LORETO,2023,"5,781"
LIMA,2011,"126,494"
LIMA,2012,"135,777"
LIMA,2013,"147,119"
LIMA,2014,"151,256"
LIMA,2015,"180,409"
LIMA,2016,"170,366"
LIMA,2017,"177,517"
LIMA,2018,"194,005"
LIMA,2019,"174,103"
LIMA,2020,"111,870"
LIMA,2021,"143,162"
LIMA,2022,"178,705"
LIMA,2023,"167,173"
LAMBAYEQUE,2011,"10,300"
LAMBAYEQUE,2012,"11,356"
LAMBAYEQUE,2013,"12,260"
LAMBAYEQUE,2014,"13,740"
LAMBAYEQUE,2015,"15,757"
LAMBAYEQUE,2016,"21,406"
LAMBAYEQUE,2017,"25,186"
LAMBAYEQUE,2018,"27,315"
