Departamento;Tipo_educacion;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AMAZONAS;No_universitaria;2.535;3.916727396;4.301929586;3.105601508;4.569442543;4.080264598;3.568050332;4.691136891;3.050116455;3.170739746;3.500673096
AMAZONAS;Universitaria;13.422;13.572;15.71167502;21.17752406;6.86574359;9.469228404;14.17095247;9.538084501;15.16108398;12.36430957;11.73637207
ANCASH;No_universitaria;2.829;3.329711887;3.194695386;3.5968823;3.381150912;4.035731764;3.723828098;4.106932817;3.863677734;5.134488281;4.935501953
ANCASH;Universitaria;7.977;8.679;5.866110332;6.584875585;3.957532528;3.740006309;5.275542965;5.887917117;11.68875098;7.00129541;11.36836328
APURIMAC;No_universitaria;1.963;1.803709607;2.110410678;2.963986493;4.561516789;4.62536745;6.023915682;2.966847244;4.152216309;5.138811035;6.54334375
APURIMAC;Universitaria;7.073;6.413;10.32406548;14.9090289;8.286395019;6.994585085;11.06380633;14.61762483;15.33413184;8.614554688;8.684618164
AREQUIPA;No_universitaria;2.578;2.601008615;2.881693952;2.950048875;2.846665855;3.263094173;4.60797354;4.594512836;5.596254395;5.792999023;6.020813965
AREQUIPA;Universitaria;3.733;3.968;4.656589175;4.408945296;4.131237806;4.665212409;6.227096471;7.439837554;11.44888574;10.30212109;9.205321289
AYACUCHO;No_universitaria;3.25;4.434129025;4.756736443;4.492244862;5.120625623;5.362717651;6.364944861;5.84366116;4.525230469;6.23593457;5.713617188
AYACUCHO;Universitaria;5.377;4.108;5.021355606;6.270120977;6.442295828;5.600823051;6.67732404;5.587611149;7.337630859;5.015004883;5.68451416
CAJAMARCA;No_universitaria;1.695;1.986031107;2.599456609;2.367545451;2.469681904;2.98891649;2.934437469;3.323213748;3.040760254;3.940977051;3.643788574
CAJAMARCA;Universitaria;5.524;5.923;7.28535394;7.794353282;6.51923239;7.035371297;7.898674396;12.60696884;11.38168457;8.632029297;10.82360547
CALLAO;No_universitaria;1.956;6.715765705;7.033797017;9.484034069;5.391238401;2.306748554;1.881341686;2.309936901;2.533203857;1.767900757;1.311552979
CALLAO;Universitaria;3.032;4.312;4.362934488;5.364075523;8.742780964;2.995720808;3.360041228;5.494655647;7.465771973;7.506692383;7.005168945
