ubigeo_inei;departamento;provincia;distrito;ubigeo_reniec;AÑO;P36;P47_01;P59_L_01;P59_L_02;P59_L_03;P59_L_04;P59_L_05;P59_L_06;Total_recrea;P60;P61_M;p69;p69_01;p69_02;p69_03;p69_04;p69_05;p69_06;p69_07;p69_08;p69_09;P72;P72_01;P72_02;P73_O_01;P73_O_02;P73_O_03;P73_O_04;P105_01;P106_01
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2013;1;10;1;0;0;1;0;0;2;1;1;1;0;0;1;0;0;0;0;0;0;1;8;1;1;0;0;4;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2014;1;45;1;0;0;1;0;0;2;1;1;1;1;0;1;0;1;1;0;0;0;1;12;1;2;1;0;17;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2015;0;120;1;0;0;1;0;0;2;1;0;1;0;0;1;1;0;1;0;0;0;1;13;1;1;0;0;0;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2016;0;26;1;0;0;1;0;0;2;1;0;1;0;1;1;0;0;1;0;0;0;1;11;1;10;0;0;6;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2017;1;42;1;0;0;1;0;0;2;1;1;1;0;0;1;1;0;1;1;0;0;1;20;0;3;5;0;5;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2018;1;45;1;0;0;1;0;0;2;1;1;1;1;1;1;1;0;1;0;0;0;1;21;0;1;7;0;4;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2019;0;45;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;16;0;1;7;0;0;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2020;0;69;1;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;1;23;0;1;7;0;10;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2021;0;25;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;23;0;3;7;0;10;4;4
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10101;2022;0;29;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;30;0;3;7;0;8;4;4
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2013;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2014;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;4;4
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2015;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2016;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;4
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2017;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2018;0;300;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;4;0;0;0;0;0;3;3
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2019;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;4
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2021;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2013;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2014;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2016;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2017;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2018;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2019;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2020;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3
10103;AMAZONAS;CHACHAPOYAS;BALSAS;10103;2022;0;9;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2013;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2016;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2017;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2018;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2019;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2020;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2021;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;2;1;0;1;0;0;4;4
10104;AMAZONAS;CHACHAPOYAS;CHETO;10104;2022;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2014;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2015;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2016;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2017;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2020;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;2022;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2013;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2014;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2017;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2013;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2016;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2017;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2019;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2020;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;5;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2021;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;4
10107;AMAZONAS;CHACHAPOYAS;GRANADA;10107;2022;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
10108;AMAZONAS;CHACHAPOYAS;HUANCAS;10108;2013;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
