REGIONES;2017;2018;2019;2020;2021;2022;2023;2024
AMAZONAS;724;730;819;1282;1196;1130;414;129
ANCASH;4104;4925;5075;8757;10140;6471;5723;1718
APURIMAC;1312;1245;1517;2239;3509;2078;717;575
AREQUIPA;4295;5032;6220;11600;12643;6678;4553;2106
AYACUCHO;970;1808;1923;3022;4009;2696;949;386
CAJAMARCA;2472;3126;3035;5790;7224;4666;1755;802
CALLAO;3949;4017;4053;8012;9472;5108;4177;1587
CUSCO;4294;5620;5566;7798;9670;5542;2480;1564
HUANCAVELICA;1520;1685;1748;2451;3130;2053;1404;548
HUANUCO;2565;2757;2540;4258;5145;3282;2050;821
ICA;3588;3689;4059;7763;8549;4313;3732;1700
JUNIN;4197;5109;5539;8500;11193;5875;3959;1729
LA LIBERTAD;6859;6908;7591;13752;14603;8992;5508;2177
LAMBAYEQUE;5574;3779;567;7245;5120;3509;1700;306
LIMA;26258;30691;32077;86806;94722;47809;34937;14371
LORETO;2068;1716;1953;5091;4465;2685;2042;1153
MADRE DE DIOS;469;437;626;1087;1091;821;412;215
MOQUEGUA;590;704;759;1569;1368;809;519;173
PASCO;550;469;544;1207;1679;1021;372;149
PIURA;3057;5206;5024;13822;12955;7906;3714;1246
PUNO;4123;4922;4976;8128;10028;6754;4707;1415
SAN MARTIN;1890;2282;2301;4305;4983;3173;1357;504
TACNA;1057;1174;1154;2127;2256;1563;1242;352
TUMBES;695;805;906;1783;1840;1110;849;342
UCAYALI;1164;1607;1712;3487;3057;1959;750;377
